id,codigo_curriculo,codigo_ingresso,periodo_ingresso,forma_ingresso,codigo_evasao,forma_evasao,periodo_evasao,evadiu_periodo,forma_saida,acao_afirmativa,tipo_reserva_vagas,forma_reserva_vagas,sexo,codigo_cor,nome_cor,idade_ingresso,idade_evasao,tipo_ensino_medio,ensino_medio,apv_media_geral
L342881,1979,1,1983.1,VESTIBULAR,1,GRADUADO,1987.2,10,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,22,NA,Não informado,581
G307667,1979,1,1984.1,VESTIBULAR,1,GRADUADO,1988.2,10,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,23,NA,Não informado,640
U225344,1979,1,1984.1,VESTIBULAR,1,GRADUADO,1987.2,8,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,0,0,NA,Não informado,818
G395086,1979,1,1977.2,VESTIBULAR,1,GRADUADO,1982.2,11,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,23,28,NA,Não informado,538
N356122,1979,1,1979.2,VESTIBULAR,1,GRADUADO,1985.2,13,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,21,27,NA,Não informado,481
U385295,1979,1,1979.2,VESTIBULAR,1,GRADUADO,1990.2,23,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,25,36,NA,Não informado,471
Y225407,1979,1,1978.2,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1985.2,15,Evadido,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,19,26,NA,Não informado,577
C011406,1979,1,1980.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1988.1,17,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,23,31,NA,Não informado,NA
U104114,1979,1,1981.1,VESTIBULAR,1,GRADUADO,1986.1,11,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,17,22,NA,Não informado,742
A223517,1979,1,1982.1,VESTIBULAR,1,GRADUADO,1988.2,14,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,20,26,NA,Não informado,622
N284117,1979,1,1985.1,VESTIBULAR,1,GRADUADO,1989.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,22,NA,Não informado,636
K329073,1979,1,1985.1,VESTIBULAR,1,GRADUADO,1990.1,11,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,23,NA,Não informado,593
Z126687,1979,1,1984.1,VESTIBULAR,1,GRADUADO,1989.1,11,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,684
A103322,1990,1,1997.2,VESTIBULAR,1,GRADUADO,2000.2,7,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,20,23,NA,Não informado,591
R076975,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.1,8,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,17,21,NA,Não informado,589
B267453,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2001.1,10,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,24,NA,Não informado,598
J391356,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.1,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,16,20,NA,Não informado,590
J314425,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.2,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,21,25,NA,Não informado,589
Z235250,1990,1,1983.1,VESTIBULAR,1,GRADUADO,1986.2,8,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,21,NA,Não informado,629
Q302533,1990,1,1985.1,VESTIBULAR,1,GRADUADO,1988.2,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,17,20,NA,Não informado,715
N252295,1990,1,1996.1,VESTIBULAR,1,GRADUADO,1999.2,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,17,20,NA,Não informado,647
Y288529,1990,1,1983.1,VESTIBULAR,1,GRADUADO,1987.2,10,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,22,NA,Não informado,734
I248354,1990,1,1983.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1986.2,8,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,21,NA,Não informado,NA
A347244,1990,1,1983.1,VESTIBULAR,1,GRADUADO,1987.2,10,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,22,NA,Não informado,600
H064910,1990,1,1983.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1993.2,22,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,596
H302019,1990,1,1983.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1990.1,15,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,22,29,NA,Não informado,719
U213111,1990,1,1983.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1991.1,17,Evadido,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,26,NA,Não informado,695
O371195,1990,1,1983.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1992.1,19,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,28,NA,Não informado,589
