,periodo_ingresso,idade_ingresso
0,2000.1,19
1,2000.2,18
2,2001.1,18
3,2001.2,18
4,2002.1,18
5,2002.2,19
6,2003.1,18
7,2003.2,18
8,2004.1,20
9,2004.2,20
10,2005.1,18
11,2005.2,20
12,2006.1,18
13,2006.2,18
14,2007.1,18
15,2007.2,18
16,2008.1,18
17,2008.2,18
18,2009.1,20
19,2009.2,21
20,2010.1,20
21,2010.2,19
22,2011.1,19
23,2011.2,20
24,2012.1,18
25,2012.2,21
26,2013.1,19
27,2013.2,19
28,2014.1,19
29,2014.2,20
30,2015.1,21
31,2015.2,20
32,2016.1,20
33,2016.2,20
34,2017.1,18
35,2017.2,21
36,2018.1,19
37,2018.2,21
38,2019.1,19
39,2019.2,20
40,2020.1,20
