,periodo_ingresso,sexo,contagem
146,2020.1,Masculino,86
145,2020.1,Feminino,18
144,2019.2,Masculino,92
143,2019.2,Feminino,21
142,2019.1,Masculino,82
141,2019.1,Feminino,13
140,2018.2,Masculino,96
139,2018.2,Feminino,12
138,2018.1,Masculino,87
137,2018.1,Feminino,11
136,2017.2,Masculino,87
135,2017.2,Feminino,18
134,2017.1,Masculino,83
133,2017.1,Feminino,13
132,2016.2,Masculino,96
131,2016.2,Feminino,26
129,2016.1,Feminino,10
130,2016.1,Masculino,96
127,2015.2,Feminino,21
128,2015.2,Masculino,86
126,2015.1,Masculino,103
125,2015.1,Feminino,14
124,2014.2,Masculino,80
123,2014.2,Feminino,14
121,2014.1,Feminino,20
122,2014.1,Masculino,99
120,2013.2,Masculino,94
119,2013.2,Feminino,20
118,2013.1,Masculino,93
117,2013.1,Feminino,17
116,2012.2,Masculino,88
115,2012.2,Feminino,27
114,2012.1,Masculino,108
113,2012.1,Feminino,13
112,2011.2,Masculino,98
111,2011.2,Feminino,13
109,2011.1,Feminino,21
110,2011.1,Masculino,81
108,2010.2,Masculino,76
107,2010.2,Feminino,18
106,2010.1,Masculino,85
105,2010.1,Feminino,12
103,2009.2,Feminino,8
104,2009.2,Masculino,60
102,2009.1,Masculino,62
101,2009.1,Feminino,16
100,2008.2,Masculino,43
99,2008.2,Feminino,7
98,2008.1,Masculino,36
97,2008.1,Feminino,5
96,2007.2,Masculino,33
95,2007.2,Feminino,8
93,2007.1,Feminino,15
94,2007.1,Masculino,26
91,2006.2,Feminino,6
92,2006.2,Masculino,30
90,2006.1,Masculino,34
89,2006.1,Feminino,5
88,2005.2,Masculino,35
87,2005.2,Feminino,4
85,2005.1,Feminino,7
86,2005.1,Masculino,30
84,2004.2,Masculino,31
83,2004.2,Feminino,6
82,2004.1,Masculino,29
81,2004.1,Feminino,7
80,2003.2,Masculino,34
79,2003.2,Feminino,4
78,2003.1,Masculino,32
77,2003.1,Feminino,5
76,2002.2,Masculino,31
75,2002.2,Feminino,7
74,2002.1,Masculino,29
73,2002.1,Feminino,6
71,2001.2,Feminino,4
72,2001.2,Masculino,34
70,2001.1,Masculino,28
69,2001.1,Feminino,7
68,2000.2,Masculino,29
67,2000.2,Feminino,7
65,2000.1,Feminino,5
66,2000.1,Masculino,30
