,id,codigo_curriculo,codigo_ingresso,periodo_ingresso,forma_ingresso,codigo_evasao,forma_evasao,periodo_evasao,evadiu_periodo,forma_saida,acao_afirmativa,tipo_reserva_vagas,forma_reserva_vagas,sexo,codigo_cor,nome_cor,idade_ingresso,idade_evasao,tipo_ensino_medio,ensino_medio,apv_media_geral
3828,D273683,2017,5,2020.1,GRADUADO,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,27,,1.0,Somente escola privada,
3823,U285025,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,20,,2.0,Somente escola pública,616.56
3822,T076072,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,20,,2.0,Somente escola pública,619.88
3561,L287602,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,18,,2.0,Somente escola pública,683.04
3819,B300983,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,707.22
3700,E245483,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Sim,3,Escola Renda,Feminino,1,Branca,20,,2.0,Somente escola pública,664.08
3712,F036677,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Sim,3,Escola Renda,Feminino,1,Branca,18,,2.0,Somente escola pública,669.06
3850,X132612,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,19,,2.0,Somente escola pública,596.1
3641,K143690,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Sim,8,Escola Cor Deficiencia,Feminino,3,Parda,35,,2.0,Somente escola pública,486.84
3776,A024878,2017,2,2020.1,TRANSFERENCIA,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,19,,1.0,Somente escola privada,
3453,D265390,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,21,,1.0,Somente escola privada,726.72
3472,W153461,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,19,,1.0,Somente escola privada,712.16
3444,Y266205,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,731.34
3518,B303702,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,18,,2.0,Somente escola pública,648.48
3314,X232555,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,748.48
3766,K123256,2017,2,2020.1,TRANSFERENCIA,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,21,,1.0,Somente escola privada,
3437,L012252,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,726.64
3809,A270449,2017,18,2020.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,707.4
3291,I049334,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,20,,1.0,Somente escola privada,688.88
3346,A220628,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,,1.0,Somente escola privada,685.08
3550,Z017706,2017,2,2019.2,TRANSFERENCIA,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,,1.0,Somente escola privada,
