,periodo_ingresso,nome_cor
3828,2020.1,Parda
3823,2020.1,Parda
3822,2020.1,Parda
3561,2020.1,Parda
3819,2020.1,Branca
3700,2020.1,Branca
3712,2020.1,Branca
3850,2020.1,Parda
3641,2020.1,Parda
3776,2020.1,Parda
3453,2020.1,Branca
3472,2020.1,Parda
3444,2020.1,Branca
3518,2020.1,Parda
3314,2020.1,Branca
3766,2020.1,Branca
3437,2020.1,Branca
3809,2020.1,Branca
3291,2019.2,Branca
3346,2019.2,Branca
3550,2019.2,Branca
3546,2019.2,Parda
3541,2019.2,Parda
3494,2019.2,Branca
3358,2019.2,Branca
3377,2019.2,Parda
3383,2019.2,Parda
3388,2019.2,Parda
3046,2019.2,Parda
3164,2019.2,Parda
3274,2019.2,Parda
3194,2019.2,Branca
3275,2019.2,Branca
3065,2019.2,Branca
3089,2019.2,Parda
3066,2019.2,Branca
3282,2019.2,Parda
3083,2019.2,Parda
3166,2019.2,Branca
3652,2019.1,Parda
3653,2019.1,Parda
3657,2019.1,Parda
3634,2019.1,Branca
3572,2019.1,Branca
3592,2019.1,Parda
3594,2019.1,Branca
3624,2019.1,Branca
3733,2019.1,Branca
3734,2019.1,Parda
3741,2019.1,Parda
3743,2019.1,Parda
3746,2019.1,Branca
3420,2018.2,Branca
3272,2018.2,Parda
3526,2018.2,Branca
3449,2018.2,Branca
3495,2018.2,Branca
3529,2018.2,Branca
3431,2018.2,Parda
3523,2018.2,Branca
3445,2018.2,Parda
3440,2018.2,Parda
3647,2018.2,Branca
3685,2018.2,Parda
3078,2018.1,Amarela
3073,2018.1,Parda
3107,2018.1,Parda
3167,2018.1,Parda
3093,2018.1,Parda
3095,2018.1,Branca
3096,2018.1,Branca
3097,2018.1,Branca
3555,2018.1,Parda
3697,2018.1,Branca
3668,2018.1,Parda
2434,2017.2,Branca
3036,2017.2,Parda
3374,2017.2,Parda
2235,2017.2,Amarela
1841,2017.2,Amarela
2232,2017.2,Parda
3717,2017.2,Preta
3713,2017.2,Branca
3016,2017.2,Parda
3015,2017.2,Branca
3505,2017.2,Parda
3209,2017.2,Preta
3508,2017.2,Parda
3230,2017.2,Parda
3395,2017.2,Branca
3228,2017.2,Parda
3391,2017.2,Parda
3223,2017.2,Parda
3145,2017.1,Preta
2997,2017.1,Branca
3129,2017.1,Parda
3154,2017.1,Parda
3153,2017.1,Branca
3151,2017.1,Parda
3149,2017.1,Branca
3142,2017.1,Branca
3607,2017.1,Branca
3455,2017.1,Preta
3331,2017.1,Preta
3295,2017.1,Branca
3305,2017.1,Parda
2510,2016.2,Branca
2239,2016.2,Branca
2236,2016.2,Branca
